fs	behav
FS_R_Rostralanteriorcingulate_Area	WM_Task_2bk_Place_Median_RT
FS_R_Rostralmiddlefrontal_Area	WM_Task_2bk_Place_Median_RT_Target
FS_R_Superiorfrontal_Area	WM_Task_2bk_Place_Median_RT_Nontarget
FS_R_Superiorparietal_Area	WM_Task_2bk_Tool_Median_RT
FS_R_Superiortemporal_Area	WM_Task_2bk_Tool_Median_RT_Target
FS_R_Supramarginal_Area	WM_Task_2bk_Tool_Median_RT_Nontarget
FS_R_Frontalpole_Area	NEOFAC_A
FS_R_Temporalpole_Area	NEOFAC_O
FS_R_Transversetemporal_Area	NEOFAC_C
FS_R_Insula_Area	NEOFAC_N
	NEOFAC_E
	Noise_Comp
	Odor_AgeAdj
	PainInterf_Tscore
	Taste_AgeAdj
	Mars_Log_Score
	Mars_Errs
	Mars_Final
